chopsticks,はし,"I ate noodles with chopsticks.","私は箸で麺を食べました。"
note,ノート・メモ,"I wrote a note for my friend.","私は友達にメモを書きました。"
career,職業・経歴,"She wants a career in medicine.","彼女は医療の仕事を望んでいます。"
nursery,保育所・託児所,"My sister works at a nursery.","私の姉は保育所で働いています。"
collect information,情報を集める,"We need to collect information for the project.","私たちはプロジェクトのために情報を集める必要があります。"
play with friends,友達と遊ぶ,"He likes to play with friends after school.","彼は放課後に友達と遊ぶのが好きです。"
park,駐車する,"You can park your car here.","ここに車を駐車できます。"
own,自分自身の,"I saw it with my own eyes.","私は自分の目でそれを見ました。"
international airport,国際空港,"We arrived at the international airport.","私たちは国際空港に到着しました。"
chose,chooseの過去形,"She chose a red bag.","彼女は赤いかばんを選びました。"
illustration,イラスト,"He drew a beautiful illustration.","彼は美しいイラストを描きました。"
colorful,色彩に富んだ,"We enjoyed colorful flowers.","私たちは色とりどりの花を楽しみました。"
How about,〜はどうですか,"How about a drink?","飲み物はどうですか。"
caterpillar,いもむし,"The caterpillar became a butterfly.","そのいもむしは蝶になりました。"
pretty,かわいらしい,"She has a pretty smile.","彼女はかわいらしい笑顔をしています。"
tiny,小さい,"I found a tiny bird.","私は小さな鳥を見つけました。"
moon,月,"The moon is bright tonight.","今夜は月が明るいです。"
leaf,葉っぱ,"An old leaf fell from the tree.","古い葉が木から落ちました。"
taught,teachの過去形,"She taught me English.","彼女は私に英語を教えてくれました。"
important,重要な,"This is an important problem.","これは重要な問題です。"
come out,出てくる,"Come out of your room.","部屋から出てきなさい。"
story,話・物語,"I read an interesting story.","私は面白い物語を読みました。"
smile weakly,弱々しくほほえむ,"She smiled weakly at me.","彼女は弱々しく私にほほえみました。"
learn Japanese,日本語を学ぶ,"He wants to learn Japanese.","彼は日本語を学びたいと思っています。"
understand,理解する,"I understand the question.","私はその質問を理解しています。"
necessary,必要な,"Water is necessary for life.","水は生活に必要です。"
difficult,難しい,"Math is difficult for me.","数学は私には難しいです。"
glad,うれしい,"I’m glad to see you.","あなたに会えてうれしいです。"
e-mail,Eメール,"Thank you for your e-mail.","Eメールをありがとう。"
flour,小麦粉,"We need flour to make bread.","パンを作るには小麦粉が必要です。"
cabbage,キャベツ,"I bought a cabbage at the market.","私は市場でキャベツを買いました。"
ingredient,材料・調味料,"Salt is an important ingredient.","塩は大事な材料です。"
crispy,かりかりした,"The cookies are crispy.","そのクッキーはかりかりしています。"
tasty,味の良い,"This soup is tasty.","このスープはおいしいです。"
reason,理由,"Tell me the reason.","理由を教えてください。"
favorite,大好きな,"She is my favorite singer.","彼女は私の大好きな歌手です。"
popular,人気のある,"This game is very popular.","このゲームはとても人気があります。"
fresh,新鮮な,"The fish is fresh.","その魚は新鮮です。"
easy,簡単な,"This question is easy.","この問題は簡単です。"
ancient,古代の,"They visited an ancient city.","彼らは古代の都市を訪れました。"
shake,振る,"Please shake the bottle well.","このボトルをよく振ってください。"
put,置く,"Put the book on the table.","本をテーブルの上に置いてください。"
told,tellの過去形,"He told me the truth.","彼は私に真実を話しました。"
tall,背が高い,"She is tall for her age.","彼女は年齢のわりに背が高いです。"

measure,測る,"They used water to measure time.","彼らは時間を測るために水を使いました。"
burn,燃える,"The candle burns slowly.","そのキャンドルはゆっくり燃えます。"
decrease,減る,"The amount of water decreased.","水の量が減りました。"
pot,容器,"Put the sand in the pot.","砂をその容器に入れてください。"
candle,ろうそく,"The candle gave light.","そのろうそくは光を与えました。"
with,〜を使って,"He cut the paper with scissors.","彼ははさみを使って紙を切りました。"
gave,giveの過去形,"She gave me a gift.","彼女は私にプレゼントをくれました。"
line,線,"Draw a line here.","ここに線を引いてください。"
fire,火,"Fire gives heat and light.","火は熱と光を与えます。"

weight,おもり,"The clock used a weight to work.","その時計はおもりで動きました。"
mechanical,機械の,"A mechanical clock has gears.","機械時計には歯車があります。"
eventually,最終的に,"He eventually solved the problem.","彼は最終的にその問題を解決しました。"
hour,時刻,"It takes one hour.","1時間かかります。"
begin,始める,"They began to make clocks.","彼らは時計を作り始めました。"
carry,運ぶ,"She carries a small watch.","彼女は小さな時計を持ち運びます。"
have,持つ,"I have a new watch.","私は新しい時計を持っています。"
improve,改善する,"We must improve the design.","私たちはそのデザインを改善しなければなりません。"
heavy,重い,"This box is heavy.","この箱は重いです。"
light,軽い,"This bag is light.","このかばんは軽いです。"
recognize,認識する,"We should recognize their effort.","私たちは彼らの努力を認識すべきです。"
invention,発明,"The invention changed the world.","その発明は世界を変えました。"
wisdom,知恵,"Human wisdom created clocks.","人間の知恵が時計を作りました。"
technology,技術,"Technology helps our life.","技術は私たちの生活を助けます。"
type,型,"This type of clock is old.","この型の時計は古いです。"
effort,努力,"The clock works by human effort.","その時計は人間の努力で動きます。"
result,結果,"The result was surprising.","その結果は驚くべきものでした。"
idea,考え,"He had a good idea.","彼は良いアイディアを持っていました。"
even,〜でさえ,"Even children can use this.","子どもでさえこれを使えます。"
easy,簡単な,"This computer is easy to use.","このコンピュータは使うのが簡単です。"
