shower,シャワー,"I took a shower this morning.","私は今朝シャワーを浴びました。"
limit,限界・制限,"There is a limit to my patience.","私の忍耐には限界があります。"
mustn't,must not の短縮形,"You mustn't run here.","ここで走ってはいけません。"
do one's best,最善を尽くす,"I will do my best.","私は最善を尽くします。"
save,お金を節約する,"Try to save money.","お金を節約しなさい。"
come from,〜から来る,"Come back from school by 3 p.m.","午後3時までに学校から帰りなさい。"

career,職業,"She chose a career in medicine.","彼女は医療の仕事を選びました。"
information,情報,"I need more information.","もっと情報が必要です。"
international,国際的な,"She works at an international school.","彼女は国際学校で働いています。"
nursery,保育所,"My sister works at a nursery.","私の姉は保育所で働いています。"
note,ノート・メモ,"I wrote a note.","私はメモを書きました。"
own,自分自身の,"I saw it with my own eyes.","私は自分の目でそれを見ました。"
tag,タグ,"Put a name tag on your bag.","かばんに名前タグをつけなさい。"
chopsticks,箸,"I ate sushi with chopsticks.","私は箸で寿司を食べました。"
picture book,絵本,"This picture book is fun.","この絵本は楽しいです。"
garbage,ごみ,"Throw the garbage away.","ごみを捨てなさい。"

pretty,かわいらしい,"She has a pretty smile.","彼女はかわいらしい笑顔をしています。"
taught,teachの過去形,"She taught me English.","彼女は私に英語を教えてくれました。"
important,重要な,"This is an important problem.","これは重要な問題です。"
moon,月,"The moon is bright tonight.","今夜は月が明るいです。"
lay,置く,"Lay the book on the desk.","本を机に置きなさい。"
lie,横になる,"He likes to lie on the sofa.","彼はソファに横になるのが好きです。"
leaf,葉っぱ,"A leaf fell from the tree.","葉っぱが木から落ちました。"
pop,飛び出す,"The balloon popped.","風船が破裂しました。"
tiny,とても小さい,"I found a tiny bird.","私は小さな鳥を見つけました。"
caterpillar,いもむし,"The caterpillar became a butterfly.","そのいもむしは蝶になりました。"
pear,洋なし,"I ate a pear.","私は洋なしを食べました。"
plum,プラム,"Plums are sweet.","プラムは甘いです。"
come up,出てくる,"New ideas came up.","新しいアイディアが出てきました。"
come out of,〜から出てくる,"He came out of the room.","彼は部屋から出てきました。"

learn,学ぶ,"I want to learn Japanese.","私は日本語を学びたいです。"
necessary,必要な,"Water is necessary for life.","水は生活に必要です。"
adjust,調整する,"Adjust the speed.","速度を調整しなさい。"
speed,速度,"The car changed speed.","その車は速度を変えました。"
story,物語,"I read a story.","私は物語を読みました。"
difficult,難しい,"Math is difficult.","数学は難しいです。"
sentence,文,"Write a sentence.","文を書きなさい。"
clearly,はっきりと,"Speak clearly.","はっきり話しなさい。"
understand,理解する,"I understand the question.","私はその質問を理解しています。"
smile,ほほえむ,"She smiled at me.","彼女は私にほほえみました。"
clap,拍手する,"They clapped loudly.","彼らは大きな音で拍手しました。"
glad,うれしい,"I’m glad to see you.","あなたに会えてうれしいです。"
loud,大声で,"He spoke loudly.","彼は大声で話しました。"
sincerely,心から,"I sincerely thank you.","心から感謝します。"
again and again,何度も,"He tried again and again.","彼は何度も挑戦しました。"
from now on,これからは,"I will study hard from now on.","これからは一生懸命勉強します。"

homestay,ホームステイ,"I enjoyed my homestay.","私はホームステイを楽しみました。"
guest,客,"We have a guest today.","今日はお客さんが来ます。"
rule,規則,"Follow the rules.","規則に従いなさい。"
advice,助言,"She gave me good advice.","彼女は私に良い助言をくれました。"
member of the team,チームの一員,"He is a member of the team.","彼はチームの一員です。"
follow your plan,計画に従う,"Follow your plan.","あなたの計画に従いなさい。"
perfect,完璧な,"This is a perfect story.","これは完璧な物語です。"

check,調べる,"Please check your answers.","答えを確認してください。"
however,しかしながら,"However, I disagree.","しかしながら、私は反対です。"
easy,簡単な,"This question is easy.","この問題は簡単です。"
ago,〜前に,"I came here two years ago.","私は2年前にここに来ました。"
timekeeping,時間の計測,"Timekeeping was important in ancient times.","時間の計測は古代で重要でした。"
ancient,古代の,"They visited an ancient city.","彼らは古代の都市を訪れました。"
Egyptian,エジプト人,"The Egyptians built pyramids.","エジプト人はピラミッドを建てました。"
put,置く,"Put the book on the desk.","本を机に置いてください。"
stick,棒,"He used a stick to draw a line.","彼は棒で線を引きました。"
shadow,影,"The shadow moved slowly.","影がゆっくり動きました。"
told,tellの過去形,"He told me a story.","彼は私に話をしました。"

measure,測る,"They measured time with water.","彼らは水で時間を測りました。"
without,〜なしで,"I can't live without music.","私は音楽なしでは生きられません。"
pot,つぼ・かめ,"Put the sand in the pot.","砂をつぼに入れてください。"
hole,穴,"There is a hole in the wall.","壁に穴があります。"
decrease,減る,"The water level decreased.","水位が下がりました。"
line,線,"Draw a line here.","ここに線を引いてください。"
fire,火,"Fire gives heat.","火は熱を与えます。"
burn,燃える,"The candle burned slowly.","ろうそくはゆっくり燃えました。"
candle,ろうそく,"The candle gave light.","ろうそくは光を与えました。"
gave,giveの過去形,"She gave me a gift.","彼女は私にプレゼントをくれました。"

mechanical,機械の,"A mechanical clock has gears.","機械時計には歯車があります。"
weight,おもり,"The clock used a weight.","その時計はおもりで動きました。"
power,動力を供給する,"The engine powers the car.","エンジンは車に動力を供給します。"
hour,時刻,"It takes one hour.","1時間かかります。"
bell,鐘,"The bell rang loudly.","鐘が大きく鳴りました。"
heavy,重い,"This box is heavy.","この箱は重いです。"
move,動かす,"Please move the chair.","椅子を動かしてください。"
improve,改善する,"We must improve the design.","デザインを改善しなければなりません。"
light,軽い,"This bag is light.","このかばんは軽いです。"
eventually,最終的に,"He eventually finished the work.","彼は最終的にその仕事を終えました。"
began,beginの過去形,"They began to work.","彼らは働き始めました。"
carry,運ぶ,"She carries a small bag.","彼女は小さなかばんを持ち運びます。"

type,種類,"This type of clock is old.","この種類の時計は古いです。"
result,結果,"The result was surprising.","その結果は驚くべきものでした。"
invention,発明,"The invention changed the world.","その発明は世界を変えました。"
effort,努力,"The clock works by human effort.","その時計は人間の努力で動きます。"
even,〜でさえ,"Even children can do it.","子どもでさえそれができます。"
recognize,認識する,"We should recognize their effort.","私たちは彼らの努力を認識すべきです。"
idea,アイディア,"He had a good idea.","彼は良いアイディアを持っていました。"
technology,技術,"Technology helps our life.","技術は生活を助けます。"
wisdom,知恵,"Human wisdom created clocks.","人間の知恵が時計を作りました。"
it is time to,〜する時だ,"It is time to go.","出発する時間です。"

homestay,ホームステイ,"I enjoyed my homestay.","私はホームステイを楽しみました。"
advice,助言,"She gave me good advice.","彼女は私に良い助言をくれました。"
member,メンバー,"He is a member of the team.","彼はチームの一員です。"
guest,客,"We have a guest today.","今日はお客さんが来ます。"
follow,従う,"Follow the rules.","規則に従いなさい。"
rule,規則,"This rule is important.","この規則は重要です。"
host,主人・ホスト,"The host welcomed us.","ホストは私たちを歓迎しました。"
perfect,完璧な,"This is a perfect answer.","これは完璧な答えです。"
have to,〜しなければならない,"I have to study now.","私は今勉強しなければなりません。"

must,〜しなければならない,"You must finish your homework.","宿題を終えなければなりません。"
shower,シャワー,"I took a shower.","私はシャワーを浴びました。"
limit,限界・制限,"There is a limit to my patience.","私の忍耐には限界があります。"
mustn't,〜してはいけない,"You mustn't run here.","ここで走ってはいけません。"
save,節約する,"Try to save money.","お金を節約しなさい。"
take,取る・持っていく,"Take this book with you.","この本を持って行きなさい。"
