Would you mind ( ) the window?,to open,opening,open,to,opening,"窓を開けてもらえますか。"
He enjoys ( ) the students about Japanese culture.,teach,teaching,to teach,taught,teaching,"彼は日本文化について学生に教えることを楽しんでいます。"
I ( ) to learn to play the flute. It’s just too difficult.,gave up for me to try,gave up my trying,have to give up to try,have given up trying,have given up trying,"私はフルートを習うことをあきらめました。"
( ) writing,to write,writing,have to be writing,stop writing,stop writing,"書くのをやめなさい。"
The teacher told Mary that she should ( ) late to class.,have stopped to come,stop coming,stop to come,stop come,stop coming,"先生はメアリーに授業に遅れて来るのをやめるべきだと言いました。"
Have you considered ( ) to school?,to be walking,to walk,walk,walking,walking,"学校まで歩くことを考えたことはありますか。"
It might be wise of you ( ) abroad next year.,studying,studying in,to study,to studying,to study,"来年留学するのは賢明かもしれません。"
Our boss, Mr. Yamaguchi, hopes ( ) at the age of 65.,to retire,retiring,retirement,retired,to retire,"山口さんは65歳で退職したいと望んでいます。"
It never ( ) make me teary-eyed.,fails,is enough,needs,stops,fails,"それはいつも私を涙ぐませます。"
How much can you ( ) to spend on your vacation?,invest,account,afford,contribute,afford,"休暇にいくら使う余裕がありますか。"
The girl pretended ( ) a student.,being,to be,of being,to be of,to be,"少女は学生のふりをしました。"
Japan has mostly ( ) keep its traditional values.,managed to,managed,management,manage,managed to,"日本は伝統的価値観を保つことに成功してきました。"
Remember ( ) it up for a few minutes before driving.,to have warmed,to warm,warm,warming,to warm,"運転前に数分間暖めるのを覚えておいてください。"
I remember ( ) Michael five years ago.,see,seeing,to see,to seeing,seeing,"5年前にマイケルを見たのを覚えています。"
Don’t forget ( ) to Uncle Neil tomorrow.,writing,of writing,to write,having written,to write,"明日ニールおじさんに手紙を書くのを忘れないで。"
I’ll never forget ( ) the beautiful sea.,to see,seeing,seen,seen,seeing,"美しい海を見たことを決して忘れません。"
He tried ( ) the piano.,having played,playing,of playing,to have played,playing,"彼はピアノを弾こうとしました。"
Try ( ) the control knobs.,to be adjusted,adjust,adjusting,to adjusting,adjusting,"調整ノブを動かしてみてください。"
I regret ( ) him my dictionary.,lent,to lend,lending,to have lent,lending,"彼に辞書を貸したことを後悔しています。"
It means ( ) queue all night.,to stand,to have stood,standing,having stood,standing,"それは一晩中並ぶことを意味します。"
It needs ( ) ,being repaired,repaired,to be repaired,to repair,to be repaired,"それは修理される必要があります。"
He advised him ( ) smoking.,quit,quitted,quitting,to quit,to quit,"彼は禁煙するよう忠告しました。"
The manager has decided to have his secretary ( ) the files.,bring,to bring,brings,bringing,bring,"部長は秘書に書類を持ってこさせることに決めました。"
I got my umbrella ( ) between the doors.,catch,catching,caught,to have caught,caught,"傘がドアに挟まってしまいました。"
I went to the dentist ( ) my teeth treated.,to have,have,to having,for having,to have,"歯を治療してもらうために歯医者へ行きました。"
The trainer ( ) the elephant enter the cage.,got,made,forced,let,made,"調教師は象を檻に入らせました。"
I think it is better to let him ( ) as much as he likes.,talking,to talk,talked,talk,talk,"彼が好きなだけ話すのを許しましょう。"
She sometimes helps her mother ( ) dinner.,cooked,cooking,cook,to be cooked,cook,"彼女は宿題がないとき母の夕食作りを手伝います。"
There is a group of young people with disabilities taking part in a program that aims to ( ) change negative perception of disability.,be,help,lead,,help,"若者たちが障害への認識を変える活動に参加しています。"
The teacher wanted ( ) his project.,John finishes,John finishing,John to finish,that John finish,John to finish,"先生はジョンにプロジェクトを終わらせたいと思いました。"
The bus was late again! I had ( ) it to arrive at six.,waited,hoped,expected,kept,expected,"バスはまた遅れた！6時に来ると予想していました。"
I want a guitar, but my parents won’t ( ) one.,admit,accept,forgive,allow,allow,"ギターが欲しいけど両親が許してくれません。"
My grandmother’s financial support will ( ) me to graduate from college.,able,enable,make,have,enable,"祖母の支援で大学を卒業できます。"
I tried to support him in whatever he was doing and ( ) him to go further.,give,gang,wherever he went,encourage,encourage,"彼を励ましてもっと進むよう支えました。"
It is not a good idea to ( ) a left-handed child to use her right hand.,force,make,decide,affect,force,"左利きの子に右手を使わせるのはよくありません。"
I suggested ( ) a more detailed and structured analysis.,he do,him to do,to do,to attempt,he do,"私はより詳細な分析をするよう提案しました。"
The teacher ordered that every student ( ) a study plan.,had made,has made,made,to make,made,"先生は全員に学習計画を作るよう命じました。"
His face ( ) smooth after shaving.,felt,was felt,felt to be,felt like,felt,"彼の顔はひげを剃った後すべすべに感じました。"
How do you manage to stay ( )?,out,shape,fit,match,fit,"どうやって健康を保っているのですか。"
The soup that they served tasted ( ).,so soft,deliciously,spice,like fish,like fish,"そのスープは魚のような味がしました。"
I wonder what ( ) wrong.,went,did go,took,went,"何が悪かったのだろう。"
What the newspaper said about the weather for today will certainly come ( ).,alive,clean,closed,true,true,"新聞の予報は当たるでしょう。"
The professor discussed ( ) with some senior students.,on the economic problem,in the economic problem,for the economic problems,the economic problems,the economic problems,"教授は経済問題について学生と議論しました。"
The committee mentioned ( ) as an environmental problem.,the acid-rain issue,to the acid-rain issue,about the acid-rain issue,of the acid-rain issue,the acid-rain issue,"委員会は酸性雨の問題を環境問題として挙げました。"
Have you heard the news that another typhoon ( ) Japan?,in approaching to Japan,is approaching of Japan,is approaching for Japan,is approaching Japan,is approaching Japan,"台風が日本に接近しているというニュースを聞きましたか。"
Ted has two who ( ) him so much.,are remembered by,are remembering to,are remembering,,are remembered by,"テッドには彼をよく覚えている人が2人います。"
I want to ( ) marry her.,marry to,marry,married,,marry,"彼女と結婚したいです。"
He apologized on his behalf ( ) her last night.,about bothering,against bothering,for bothering,of bothering,for bothering,"彼は昨夜迷惑をかけたことを謝りました。"
Many people have ( ) about the bad food of that restaurant.,angered,expressed,criticized,emphasized,criticized,"多くの人がそのレストランのひどい料理について批判しました。"
Mr. and Mrs. Hodson are always ( ) about the noise.,denying,denouncing,yelling,complaining,complaining,"ホドソン夫妻はいつも騒音について文句を言っています。"
She wouldn’t ( ) away from to listen to her advice.,make,give,do,take,do,"彼女の助言を聞いても害にはなりません。"
Could you ( ) me a favor and take out the garbage?,call,do,take,make,do,"お願いですがゴミを出してくれませんか。"
This European furniture ( ) me 28,000.,caused,cost,overwork,yielded,cost,"このヨーロッパ家具は私に28,000円かかりました。"
The accident almost ( ) him his life.,cost,robbed,lost,deprived,cost,"その事故は彼の命を奪いかけました。"
It took the virus a few minutes ( ) the data in the computer.,to destroy,destroying,for destruction,destruction,to destroy,"ウイルスがコンピュータ内のデータを破壊するのに数分しかかかりませんでした。"
Could you please ask the taxi driver how much we ( ) for a taxi fare to Kyoto?,price,charge,cost,pay,pay,"京都までのタクシー料金がいくらか運転手に聞いてくれませんか。"
The new software program will ( ) before long.,go out,grow,make,come,make,"新しいソフトウェアはまもなく大きな変化をもたらすでしょう。"
Sorry, I’m busy right now. ( ) you a spare key.,lend,borrow,give,take,give,"ごめん、今忙しいんだ。予備の鍵を渡すのは後でね。"
I do ( ) you will realize that honesty is the best policy.,to,for,at,by,to,"正直が最善の策だとあなたは気づくと誓います。"
