argue,〜と主張する・言い争う
personality,性格・個性
regret,を後悔する
trait,特性、特徴
perspective,観点
principle,原則・原理
abstract,抽象的な
hypothesis,仮説
norm,規範、標準
budget,予算
behave,振る舞う
precision,精度
client,依頼人、顧客
contrary,反対の
sight,光景
firm,確固たる・堅固な・安定した
seek,〜を探し求める
compare,比較する・たとえる
match,〜と調和する・一致する・〜に匹敵する
assume,〜だと仮定する
eliminate,取り除く・排除する
mere,単なる・ほんの
widespread,広範囲にわたる
divide,分ける
frame,枠・骨組み
reputation,評判
mere,単なる・ほんの
reveal,〜を明らかにする
brief,短い、簡潔な
permanent,永続的な
frighten,（人）を怖がらせる
cultivate,〜を育てる・養う
grateful,感謝している
verbal,言葉による
raw,生の・未加工の
impress,感動させる・印象づける
orbit,軌道
anticipate,〜を予期する
modest,謙虚な・適度な
orbit,軌道
shrink,縮む・縮小する
