The video recording of a shopping mall ( ) burns.,shows,shows up,shows off,shows out,shows,"ショッピングモールの録画は火災を映しています。"
Any dictionary I ( ) is an English dictionary.,will do,should do,may do,can do,will do,"どんな辞書でも英語辞書として使えます。"
Gasoline prices ( ) so rapidly these days.,have raised,have risen,have been raising,have been risen,have risen,"ガソリン価格は近年急激に上昇しています。"
My cats have been ( ) in the sun all day.,trying,leaning,lying,flying,lying,"私の猫は一日中日向で寝そべっています。"
The salaries of all employees would ( ) next month.,rise,risen,raise,raised,rise,"来月すべての従業員の給与が上がる予定です。"
Michael ( ) to me that Jane would go alone.,said,wanted,told,talked,told,"マイケルはジェーンが一人で行くと言いました。"
The newspaper ( ) it was going to rain.,said,spoke,talked,told,said,"新聞は雨が降ると伝えました。"
When I was ( ) that I had passed the test, I was very happy.,asked,said,spoke,told,told,"試験に合格したと知らされてとても嬉しかったです。"
I’d like to ( ) you about a serious problem.,say,speak,talk,tell,tell,"深刻な問題についてあなたに話したいです。"
There’s no way you can talk me ( ) going there.,to,into,for,on,into,"あなたが私を説得してそこへ行かせることはできません。"
The professor explained ( ) that Samuel should have a physical examination once a year.,on him,to him,at him,him,to him,"教授はサミュエルが年に一度健康診断を受けるべきだと彼に説明しました。"
This painting ( ) me of a dream I had recently.,recalls,reminds,resembles,remembers,reminds,"この絵は最近見た夢を思い出させます。"
How many times do I have to remind you ( ) your shoes?,for putting away,to put away,putting away,put away,to put away,"靴を片付けるよう何度言えばいいのですか。"
The drug maker hesitated to ( ) users of the possibility of fatal side effects.,about,announce,communicate,inform,inform,"製薬会社は致命的な副作用の可能性を利用者に知らせることをためらいました。"
I am now ( ) of his honesty.,convinced,believed,persuaded,confident,convinced,"私は今、彼の誠実さを確信しています。"
It is quite unfair that people were deprived ( ) their freedom of speech.,for,to,in,of,of,"人々は言論の自由を奪われました。"
Lucy was ( ) of her expensive rings.,robbed,stolen,deprived,removed,robbed,"ルーシーは高価な指輪を盗まれました。"
She slept away and ( ) the department of all the furniture.,cleared,cleaned,removed,deprived,cleared,"彼女は眠ってしまい、その部署の家具をすべて片付けました。"
Now doctors believe that ( ) Yoshida of his illness.,cured,traveled,deprived,removed,cured,"医者たちは吉田さんの病気を治したと信じています。"
The earthquake ( ) you from visiting the bay area.,caused,prevented,avoided,stopped,prevented,"地震のせいで昨年その場所を訪れることができませんでした。"
